nameseq,k1,k2,label
U57010.1/1-186,1.941997872940034,3.8691392724619025,cdbox
AACI02000291.1/4750-4936,1.9389853998275828,3.8568994346715337,cdbox
AABZ01000008.1/9856-9673,1.9310162751832431,3.853572338404854,cdbox
AAZN01000373.1/5727-5915,1.9400835974548607,3.8639388050990453,cdbox
nameseq,k1,k2,label
U57010.1/1-186,1.941997872940034,3.8691392724619025,cdbox
AACI02000291.1/4750-4936,1.9389853998275828,3.8568994346715337,cdbox
AABZ01000008.1/9856-9673,1.9310162751832431,3.853572338404854,cdbox
AAZN01000373.1/5727-5915,1.9400835974548607,3.8639388050990453,cdbox
