nameseq,k1,k2,label
AJ248287.2/14879-14825,1.9585883931289854,3.7799763370876507,cdbox
AE000782.1/711263-711211,1.870949221624746,3.3426828155617114,cdbox
BA000001.2/762168-762222,1.9651844970714512,3.6707145865341304,cdbox
BA000002.3/143608-143554,1.9606081430524753,3.8328421328704905,cdbox
nameseq,k1,k2,label
AJ248287.2/14879-14825,1.9585883931289854,3.7799763370876507,cdbox
AE000782.1/711263-711211,1.870949221624746,3.3426828155617114,cdbox
BA000001.2/762168-762222,1.9651844970714512,3.6707145865341304,cdbox
BA000002.3/143608-143554,1.9606081430524753,3.8328421328704905,cdbox
