nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
AB003409.1/96-167,87.49999999999997,67.56385993177327,441.0,5.587033846762541,0.4495238095238097,4.627591036151193,84.2451779035453,84.60443402334332,22.53250059071521,31.39490514678817,67.56385993177327,107.43251204384418,435.41296615323745,7157.910256410252,76.03760689705601,38.018803448528004,0.9628020331833751,0.709932861358029,0.25726858733777797,negative
AB009835.1/1-71,127.49999999999994,92.44633374099855,773.9033679474484,1.6933012830569791,0.30849673202614397,4.0184509925804015,149.00755014427958,149.64297968004166,18.978529372862738,27.875572776390687,92.44633374099855,159.62241321239384,772.2100666643914,22393.021367521364,131.74684043600314,65.87342021800157,1.1686866677982717,0.7057427538079776,0.2693733061471897,negative
AB013372.1/8-81,93.49999999999997,55.690438366605,484.0,0.722657333409595,0.4206773618538326,4.624873089970953,93.22687380793157,93.62443157656118,16.83693295863848,24.357050231386545,55.690438366605,140.620645962845,483.2773426665904,8765.534188034186,116.26359573145845,58.131797865729226,0.9970788642559529,1.2166951466577507,0.2509761044230702,negative
AB013373.1/3754-3825,87.49999999999994,62.085927838142275,441.0,1.2648447703589705,0.4495238095238098,4.83964748458674,89.61724164467459,89.99940645578259,8.482304624288226,18.794001637393123,62.085927838142275,125.12005092867479,439.735155229641,8099.893162393161,106.32604929128166,53.16302464564083,1.0241970473677102,0.8507538849261561,0.2706103130355715,negative
AB017063.1/58819-58900,97.50000000000003,64.52638809651535,439.6139069682446,4.6111062064259345,0.4034188034188033,4.453213227044198,96.15222306322407,96.56225572535693,18.487283246033964,32.353152455376474,64.52638809651535,123.57914743765092,435.00280076181866,9324.269230769227,91.22599498227444,45.61299749113722,0.9861766468022979,1.028794057578986,0.19961623451133564,negative
AB027572.1/4261-4342,105.50000000000003,86.03361071793078,360.0090571298824,0.024795381951705726,0.3728278041074249,4.237895355844269,88.15469357895813,88.53062148302665,20.660447417376464,32.809189017295125,86.03361071793078,145.52796670055815,359.9842617479307,7837.67094017094,112.71877768326303,56.359388841631514,0.8355895125967593,0.6624623769340307,0.2647332896869113,negative
AB031211.1/7799-7884,97.49999999999999,70.54539431751053,660.3481477883572,1.9692184186724253,0.4034188034188035,4.520257108112236,110.9470594472877,111.42018338235339,14.773594490594713,29.616868877243007,70.54539431751053,107.32628753614804,658.3789293696848,12414.457264957258,77.70941865890504,38.85470932945252,1.1379185584337201,0.7288504756260599,0.16850632127904486,negative
AB031211.1/8065-8137,79.50000000000004,62.510697522710025,400.0,1.9166499543761082,0.4947589098532492,4.944377049026677,74.02195620219717,74.33761629606637,11.161219009922094,21.50907156410837,62.510697522710025,112.03245913390833,398.0833500456239,5526.081196581194,90.52338756979997,45.26169378489998,0.9310937887068822,0.6885512089500437,0.25357973311915255,negative
AB031213.1/2203-2276,83.49999999999994,52.48587912330322,382.6731382009534,0.7747260772015848,0.47105788423153727,4.868539223872303,82.26329679753904,82.61410136041995,11.270051645793497,28.569170887495304,52.48587912330322,105.62659979231091,381.8984121237518,6825.089743589742,77.05742890481561,38.528714452407804,0.985189183204061,1.1310312891918233,0.18839761388601275,negative
AB031213.1/2678-2748,95.49999999999999,65.74798196548423,409.49568976069685,0.0,0.41186736474694596,4.634923842898935,94.57933178025735,94.98265698644741,10.715524580169696,24.113517369532293,65.74798196548423,151.91497791408995,409.49568976069685,9021.705128205127,127.80146054455766,63.90073027227883,0.9903594950812289,0.9437162689087505,0.2741823182330222,negative
AB031214.1/4204-4277,85.5,55.77101605978271,484.0,0.12771986206955868,0.46003898635477586,4.843653277228546,84.87196239041488,85.23389137729333,14.064169976295515,21.947413365288376,55.77101605978271,134.9876576631176,483.87228013793043,7264.816239316237,113.04024429782922,56.52012214891461,0.9926545308820454,1.0508411648406084,0.323744326734235,negative
AB031215.1/9125-9195,95.49999999999999,64.40325611011163,529.0,0.7089954688122743,0.41186736474694596,4.483086131418017,98.58625664868303,99.00666903204305,26.09301673487023,34.32856848190856,64.40325611011163,95.01125989624455,528.2910045311877,9802.320512820514,60.68269141433599,30.341345707167996,1.0323168235464193,0.9462802914011574,0.13152231601247616,negative
AB035922.1/6128-6200,89.49999999999999,61.08579343152609,400.9886609374208,0.2756001802144497,0.43947858472998147,4.782758262078073,92.47296902338542,92.8673118316537,13.628751770874423,21.874969690927347,61.08579343152609,109.0530542688999,400.71306075720634,8624.337606837606,87.17808457797256,43.58904228898628,1.0332175309875467,0.9218112125702889,0.18233390367195998,negative
AB035923.1/6106-6178,93.5,69.36746393360261,400.0,5.18516158434933,0.4206773618538325,4.508393119714722,83.68542286443918,84.04229195831606,14.474212375131925,32.37280536432865,69.36746393360261,131.47238987587156,394.8148384156507,7063.106837606837,99.0995845115429,49.54979225577145,0.8950312605822371,0.8651161184483471,0.25833862776328254,negative
AB042240.3/6758-6687,85.49999999999997,44.889983626397466,428.90541585144865,1.16064167882919,0.460038986354776,4.979427282502791,103.9771609537402,104.42056237233088,13.50569073088361,19.140704489684722,44.889983626397466,95.97282785762614,427.7447741726195,10903.653846153842,76.83212336794142,38.41606168397071,1.2161071456577806,1.1717000926290932,0.15988864854978335,negative
